"player_name","team","player_age","Position","games_played","games_started","player_targets","player_rec","player_catch_percentage","player_yards","player_ypr","player_td","player_first_downs","player_success","longest_reception","player_yards_per_target","receptions_per_game","yards_per_game","player_target_per_game","player_td_per_game","player_first_downs_per_game","contract_length","contract_value","contract_AAV","contract_bonus","contract_gteed"
"A.J. Brown","PHI",25,"WR",17,16,145,88,0.607,1496,17,11,59,51.7,78,10.3,5.2,88,8.52941176470588,0.647058823529412,3.47058823529412,4,1e+08,2.5e+07,"$23,234,000","$39,999,000"
"Adam Thielen","MIN",32,"WR",17,17,107,70,0.654,716,10.2,6,45,49.5,36,6.7,4.1,42.1,6.29411764705882,0.352941176470588,2.64705882352941,3,2.5e+07,8333333,"$8,335,000","$14,000,000"
"Alec Pierce","IND",22,"WR",16,12,78,41,0.526,593,14.5,2,28,46.2,47,7.6,2.6,37.1,4.875,0.125,1.75,4,6601342,1650336,"$1,980,976","$2,986,037"
"Allen Lazard","GNB",27,"WR",15,15,100,60,0.6,788,13.1,6,45,55,47,7.9,4,52.5,6.66666666666667,0.4,3,4,4.4e+07,1.1e+07,"$10,920,000","$22,000,000"
"Allen Robinson","LAR",29,"WR",10,10,52,33,0.635,339,10.3,3,23,53.8,29,6.5,3.3,33.9,5.2,0.3,2.3,3,46500000,15500000,"$14,000,000","$30,750,000"
"Amari Cooper","CLE",28,"WR",17,17,132,78,0.591,1160,14.9,9,61,53,55,8.8,4.6,68.2,7.76470588235294,0.529411764705882,3.58823529411765,5,1e+08,2e+07,"$10,000,000","$40,000,000"
"Amon-Ra St. Brown","DET",23,"WR",16,16,146,106,0.726,1161,11,6,68,62.3,49,8,6.6,72.6,9.125,0.375,4.25,4,4265252,1066313,"$785,252","$785,252"
"Ashton Dulin","IND",25,"WR",12,2,22,15,0.682,207,13.8,1,12,63.6,39,9.4,1.3,17.3,1.83333333333333,0.0833333333333333,1,2,7200000,3600000,"$2,000,000","$3,500,000"
"Ben Skowronek","LAR",25,"WR",14,11,61,39,0.639,376,9.6,0,16,49.2,32,6.2,2.8,26.9,4.35714285714286,0,1.14285714285714,4,3564524,891131,"$84,524","$84,524"
"Brandin Cooks","HOU",29,"WR",13,13,93,57,0.613,699,12.3,3,29,47.3,44,7.5,4.4,53.8,7.15384615384615,0.230769230769231,2.23076923076923,2,39764000,19882000,"$16,000,000","$36,000,000"
"Brandon Aiyuk","SFO",24,"WR",17,17,114,78,0.684,1015,13,8,47,59.6,54,8.9,4.6,59.7,6.70588235294118,0.470588235294118,2.76470588235294,4,12531342,3132836,"$6,673,704","$12,531,342"
"Brandon Johnson","DEN",24,"WR",7,1,14,6,0.429,42,7,1,2,21.4,12,3,0.9,6,2,0.142857142857143,0.285714285714286,3,2560000,853333,"-","-"
"Brandon Powell","LAR",27,"WR",17,6,32,24,0.75,156,6.5,0,7,40.6,16,4.9,1.4,9.2,1.88235294117647,0,0.411764705882353,1,1232500,1232500,"$75,000","$275,000"
"Braxton Berrios","NYJ",27,"WR",17,2,32,18,0.563,145,8.1,0,8,34.4,25,4.5,1.1,8.5,1.88235294117647,0,0.470588235294118,1,3500000,3500000,"$1,500,000","$3,000,000"
"Byron Pringle","CHI",29,"WR",11,4,16,10,0.625,135,13.5,2,8,56.3,35,8.4,0.9,12.3,1.45454545454545,0.181818181818182,0.727272727272727,1,1080000,1080000,"-","-"
"C.J. Board","TEN",29,"WR",4,0,1,1,1,6,6,0,0,100,6,6,0.3,1.5,0.25,0,0,1,965000,965000,"-","-"
"CeeDee Lamb","DAL",23,"WR",17,17,156,107,0.686,1359,12.7,9,67,55.1,39,8.7,6.3,79.9,9.17647058823529,0.529411764705882,3.94117647058824,4,14010012,3502503,"$7,749,100","$14,010,012"
"Chase Claypool","2TM",24,"WR",15,11,79,46,0.582,451,9.8,1,24,46.8,31,5.7,3.1,30.1,5.26666666666667,0.0666666666666667,1.6,4,6616625,1654156,"$2,372,092","$3,282,848"
"Chris Godwin","TAM",26,"WR",15,13,142,104,0.732,1023,9.8,3,53,60.6,44,7.2,6.9,68.2,9.46666666666667,0.2,3.53333333333333,3,6e+07,2e+07,"$18,750,000","$40,000,000"
"Chris Moore","HOU",29,"WR",16,7,74,48,0.649,548,11.4,2,24,47.3,52,7.4,3,34.3,4.625,0.125,1.5,1,1317500,1317500,"$152,500","$1,000,000"
"Chris Olave","NOR",22,"WR",15,9,119,72,0.605,1042,14.5,4,48,53.8,53,8.8,4.8,69.5,7.93333333333333,0.266666666666667,3.2,4,19271874,4817969,"$11,195,908","$19,271,874"
"Christian Kirk","JAX",26,"WR",17,17,133,84,0.632,1108,13.2,8,55,52.6,49,8.3,4.9,65.2,7.82352941176471,0.470588235294118,3.23529411764706,4,7.2e+07,1.8e+07,"$20,000,000","$37,000,000"
"Christian Watson","GNB",23,"WR",14,11,66,41,0.621,611,14.9,7,28,50,63,9.3,2.9,43.6,4.71428571428571,0.5,2,4,9241033,2310258,"$3,900,752","$6,720,893"
"Cooper Kupp","LAR",29,"WR",9,9,98,75,0.765,812,10.8,6,42,62.2,75,8.3,8.3,90.2,10.8888888888889,0.666666666666667,4.66666666666667,3,80100000,26700000,"$20,000,000","$35,000,000"
"Courtland Sutton","DEN",27,"WR",15,15,109,64,0.587,829,13,2,38,46.8,51,7.6,4.3,55.3,7.26666666666667,0.133333333333333,2.53333333333333,4,60800000,15200000,"$6,000,000","$18,000,000"
"Curtis Samuel","WAS",26,"WR",17,12,92,64,0.696,656,10.3,4,36,46.7,49,7.1,3.8,38.6,5.41176470588235,0.235294117647059,2.11764705882353,3,34500000,11500000,"$12,000,000","$21,500,000"
"D'Wayne Eskridge","SEA",25,"WR",10,0,13,7,0.538,58,8.3,0,4,30.8,16,4.5,0.7,5.8,1.3,0,0.4,4,5953504,1488376,"$1,689,820","$2,620,434"
"D.J. Moore","CAR",25,"WR",17,17,118,63,0.534,888,14.1,7,44,43.2,62,7.5,3.7,52.2,6.94117647058824,0.411764705882353,2.58823529411765,3,61884000,20628000,"$19,500,000","$41,610,000"
"D.K. Metcalf","SEA",25,"WR",17,17,141,90,0.638,1048,11.6,6,47,49.6,54,7.4,5.3,61.6,8.29411764705882,0.352941176470588,2.76470588235294,3,7.2e+07,2.4e+07,"$30,000,000","$31,000,000"
"Danny Gray","SFO",23,"WR",13,0,7,1,0.143,10,10,0,1,14.3,10,1.4,0.1,0.8,0.538461538461538,0,0.0769230769230769,4,5044908,1261227,"$849,024","$849,024"
"Dareke Young","SEA",23,"WR",13,0,2,2,1,24,12,0,2,100,12,12,0.2,1.8,0.153846153846154,0,0.153846153846154,4,3761100,940275,"$101,100","$101,100"
"Darius Slayton","NYG",25,"WR",16,11,71,46,0.648,724,15.7,2,30,57.7,55,10.2,2.9,45.3,4.4375,0.125,1.875,2,1.2e+07,6e+06,"$3,500,000","$4,900,000"
"Darnell Mooney","CHI",25,"WR",12,12,61,40,0.656,493,12.3,2,20,45.9,56,8.1,3.3,41.1,5.08333333333333,0.166666666666667,1.66666666666667,4,3577052,894263,"$282,052","$282,052"
"Davante Adams","LVR",30,"WR",17,17,180,100,0.556,1516,15.2,14,65,46.1,60,8.4,5.9,89.2,10.5882352941176,0.823529411764706,3.82352941176471,5,1.4e+08,2.8e+07,"$19,250,000","$22,750,000"
"David Bell","CLE",22,"WR",16,3,35,24,0.686,214,8.9,0,7,40,20,6.1,1.5,13.4,2.1875,0,0.4375,4,5094904,1273726,"$849,020","$849,020"
"Dax Milne","WAS",23,"WR",15,1,7,6,0.857,37,6.2,1,2,85.7,12,5.3,0.4,2.5,0.466666666666667,0.0666666666666667,0.133333333333333,4,3557268,889317,"$77,268","$77,268"
"DeAndre Hopkins","ARI",30,"WR",9,9,96,64,0.667,717,11.2,3,35,54.2,33,7.5,7.1,79.7,10.6666666666667,0.333333333333333,3.88888888888889,2,2.6e+07,1.3e+07,"$9,815,000","$10,980,000"
"Deebo Samuel","SFO",26,"WR",13,12,94,56,0.596,632,11.3,2,25,47.9,57,6.7,4.3,48.6,7.23076923076923,0.153846153846154,1.92307692307692,3,71550000,23850000,"$24,035,000","$41,000,000"
"Demarcus Robinson","BAL",28,"WR",17,5,75,48,0.64,458,9.5,2,23,46.7,31,6.1,2.8,26.9,4.41176470588235,0.117647058823529,1.35294117647059,1,1165000,1165000,"-","-"
"Deonte Harty","NOR",25,"WR",4,0,2,2,1,13,6.5,0,0,50,9,6.5,0.5,3.3,0.5,0,0,2,9500000,4750000,"$2,750,000","$4,750,000"
"DeVante Parker","NWE",29,"WR",13,11,47,31,0.66,539,17.4,3,25,59.6,43,11.5,2.4,41.5,3.61538461538462,0.230769230769231,1.92307692307692,2,10800000,5400000,"-","$9,100,000"
"Deven Thompkins","TAM",23,"WR",5,1,10,5,0.5,32,6.4,0,1,20,13,3.2,1,6.4,2,0,0.2,2,1575000,787500,"-","-"
"Devin Duvernay","BAL",25,"WR",14,13,49,37,0.755,407,11,3,19,59.2,31,8.3,2.6,29.1,3.5,0.214285714285714,1.35714285714286,4,4575810,1143953,"$887,864","$887,864"
"DeVonta Smith","PHI",24,"WR",17,17,136,95,0.699,1196,12.6,7,57,54.4,45,8.8,5.6,70.4,8,0.411764705882353,3.35294117647059,4,20141390,5035348,"$12,008,284","$20,141,390"
"Diontae Johnson","PIT",26,"WR",17,17,147,86,0.585,882,10.3,0,45,49,37,6,5.1,51.9,8.64705882352941,0,2.64705882352941,2,36710000,18355000,"$17,500,000","$19,000,000"
"DJ Chark","DET",26,"WR",11,10,52,30,0.577,502,16.7,3,24,51.9,51,9.7,2.7,45.6,4.72727272727273,0.272727272727273,2.18181818181818,1,5e+06,5e+06,"$3,920,000","$5,000,000"
"Donovan Peoples-Jones","CLE",23,"WR",17,14,96,61,0.635,839,13.8,3,33,50,42,8.7,3.6,49.4,5.64705882352941,0.176470588235294,1.94117647058824,4,3481608,870402,"$186,608","$186,608"
"Drake London","ATL",21,"WR",17,15,117,72,0.615,866,12,4,48,56.4,40,7.4,4.2,50.9,6.88235294117647,0.235294117647059,2.82352941176471,4,21534468,5383617,"$12,841,432","$21,534,469"
"Dyami Brown","WAS",23,"WR",15,0,14,5,0.357,143,28.6,2,5,35.7,75,10.2,0.3,9.5,0.933333333333333,0.133333333333333,0.333333333333333,4,4944000,1236000,"$955,636","$955,636"
"Elijah Moore","NYJ",22,"WR",16,9,65,37,0.569,446,12.1,1,22,44.6,42,6.9,2.3,27.9,4.0625,0.0625,1.375,4,8940426,2235107,"$3,862,128","$5,928,511"
"Equanimeous St. Brown","CHI",26,"WR",16,16,38,21,0.553,323,15.4,1,14,44.7,56,8.5,1.3,20.2,2.375,0.0625,0.875,1,1165000,1165000,"$85,000","$85,000"
"Erik Ezukanma","MIA",22,"WR",1,0,1,1,1,3,3,0,0,0,3,3,1,3,1,0,0,4,4384992,1096248,"$724,992","$724,992"
"Gabriel Davis","BUF",23,"WR",15,15,93,48,0.516,836,17.4,7,35,51.6,98,9,3.2,55.7,6.2,0.466666666666667,2.33333333333333,4,3994380,998595,"$699,380","$699,380"
"Garrett Wilson","NYJ",22,"WR",17,12,147,83,0.565,1103,13.3,4,56,47.6,60,7.5,4.9,64.9,8.64705882352941,0.235294117647059,3.29411764705882,4,20554006,5138502,"$12,128,368","$20,554,006"
"George Pickens","PIT",21,"WR",17,12,84,52,0.619,801,15.4,4,38,48.8,42,9.5,3.1,47.1,4.94117647058824,0.235294117647059,2.23529411764706,4,6752179,1688045,"$2,090,676","$3,102,593"
"Greg Dortch","ARI",24,"WR",16,4,64,52,0.813,467,9,2,19,46.9,47,7.3,3.3,29.2,4,0.125,1.1875,1,1010000,1010000,"-","-"
"Gunner Olszewski","PIT",26,"WR",16,2,7,5,0.714,53,10.6,0,1,42.9,31,7.6,0.3,3.3,0.4375,0,0.0625,2,4200000,2100000,"$1,235,000","$1,235,000"
"Hunter Renfrow","LVR",27,"WR",10,1,50,36,0.72,330,9.2,2,18,52,27,6.6,3.6,33,5,0.2,1.8,2,32329000,16164500,"$9,180,000","$14,500,000"
"Isaiah Hodgins","2TM",24,"WR",10,5,48,37,0.771,392,10.6,4,24,62.5,29,8.2,3.7,39.2,4.8,0.4,2.4,1,870000,870000,"-","-"
"Isaiah McKenzie","BUF",27,"WR",15,8,65,42,0.646,423,10.1,4,27,58.5,30,6.5,2.8,28.2,4.33333333333333,0.266666666666667,1.8,1,1232500,1232500,"$152,500","$402,500"
"Ja'Marr Chase","CIN",22,"WR",12,12,134,87,0.649,1046,12,9,58,55.2,60,7.8,7.3,87.2,11.1666666666667,0.75,4.83333333333333,4,30819641,7704910,"$19,774,284","$30,819,641"
"Jahan Dotson","WAS",22,"WR",12,10,61,35,0.574,523,14.9,7,26,50.8,61,8.6,2.9,43.6,5.08333333333333,0.583333333333333,2.16666666666667,4,15048358,3762090,"$8,124,260","$15,048,358"
"Jake Kumerow","BUF",30,"WR",6,1,7,4,0.571,64,16,0,4,57.1,39,9.1,0.7,10.7,1.16666666666667,0,0.666666666666667,1,1187500,1187500,"$76,250","$76,250"
"Jakobi Meyers","NWE",26,"WR",14,13,96,67,0.698,804,12,6,38,56.3,48,8.4,4.8,57.4,6.85714285714286,0.428571428571429,2.71428571428571,3,3.3e+07,1.1e+07,"$5,500,000","$10,500,000"
"Jalen Guyton","LAC",25,"WR",3,0,4,2,0.5,64,32,0,2,50,54,16,0.7,21.3,1.33333333333333,0,0.666666666666667,1,1232500,1232500,"$76,000","$76,000"
"Jalen Nailor","MIN",23,"WR",15,0,13,9,0.692,179,19.9,1,7,69.2,47,13.8,0.6,11.9,0.866666666666667,0.0666666666666667,0.466666666666667,4,3840660,960165,"$180,660","$180,660"
"Jalen Tolbert","DAL",23,"WR",8,1,3,2,0.667,12,6,0,0,33.3,8,4,0.3,1.5,0.375,0,0,4,5135719,1283930,"$915,068","$915,068"
"Jalen Virgil","DEN",24,"WR",9,1,5,2,0.4,75,37.5,1,2,40,66,15,0.2,8.3,0.555555555555556,0.111111111111111,0.222222222222222,3,2572500,857500,"$12,500","$30,000"
